,precision,recall,f1-score,support
0,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
1,0.5294117647058824,0.75,0.6206896551724138,24.0
2,0.7948717948717948,0.8857142857142857,0.8378378378378378,35.0
3,0.9375,0.8571428571428571,0.8955223880597015,35.0
4,0.88,0.88,0.88,25.0
5,0.9,0.9,0.9,20.0
6,0.9375,0.7142857142857143,0.8108108108108109,21.0
7,0.8709677419354839,0.9310344827586207,0.9,29.0
8,0.8461538461538461,0.7096774193548387,0.7719298245614035,31.0
9,0.8260869565217391,0.7037037037037037,0.76,27.0
10,0.75,0.75,0.75,24.0
11,0.8125,0.8666666666666667,0.8387096774193549,30.0
12,0.9666666666666667,0.90625,0.9354838709677419,32.0
13,0.8888888888888888,0.6666666666666666,0.7619047619047619,24.0
14,0.7241379310344828,0.75,0.7368421052631579,28.0
15,0.95,0.8636363636363636,0.9047619047619048,22.0
16,0.6829268292682927,0.9655172413793104,0.8,29.0
17,0.85,0.85,0.85,20.0
18,0.7083333333333334,0.6296296296296297,0.6666666666666666,27.0
19,0.631578947368421,0.6,0.6153846153846154,20.0
accuracy,0.8134328358208955,0.8134328358208955,0.8134328358208955,0.8134328358208955
macro avg,0.8213459320071387,0.8059659485166298,0.8087969029102157,536.0
weighted avg,0.8249973180563813,0.8134328358208955,0.8144916657799769,536.0
